username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
whosaidwhatnot,11/17/16 2:10,0,1,"#demonetization @puru_ag @_YogendraYadav à_°à__à_·à¥çà_Ÿà¥çà_°à_¨à_¿à_°à¥çà_®à__à_£ à_•à¥‡ à_¯à_œà¥çà__ à_®à¥‡à_‚ à_¸à__à¥€ à_†à__à¥‚à__à_¿ à__à¥‡à_‚à¥_à_‡à_¸ à_®à__à__à_¨à¥ç à_•à__à_°à¥çà_¯ à_®à¥‡à_‚ à_¥à¥‹à_¡à__à¥€ à_ªà_°à¥‡à_¶à__à_¨à¥€ à__à¥‹ à__à¥‹à_—à¥€à¥_"" à_¸à_‚à_œà_¯ à_—à__à_‚à_§à¥€""",,@puru_ag @_YogendraYadav,#demonetization,7.99193E+17,https://twitter.com/whosaidwhatnot/status/799192985275510784
varunkrish,11/17/16 2:10,5,18,Demonetization is one great move but the new 2000rs note is a joke which undermines it. Ppl are hoarding 2K notes already :/,,,,7.99193E+17,https://twitter.com/varunkrish/status/799192958163501056
bhasaby,11/17/16 2:09,0,1,@thesuniljain So you call demonetization an adventurism ? And then you think @PMOIndia must not act against Black Money hoarders ? @MilanV,,@thesuniljain @PMOIndia @MilanV,,7.99193E+17,https://twitter.com/bhasaby/status/799192837703094272
yashasvipratap,11/17/16 2:09,0,0,And this happens just a month before the elections. So much for honest politics. lel #Demonetization ... http:// fb.me/1c15tJ4vi,,,#Demonetization,7.99193E+17,https://twitter.com/yashasvipratap/status/799192803423174656
jainendrabaxi,11/17/16 2:09,0,0,Governance is not about whims and fancies,,,,,
U4U_Voice,11/17/16 2:08,0,1,#Kashmir Post- demonetization : Suddenly 'All Is Well' in Srinagar. Details at - http:// u4uvoice.com/?p=243716 pic.twitter.com/kBpchlusR5,,,#Kashmir,7.99193E+17,https://twitter.com/U4U_Voice/status/799192603732234241
TheDarjChron,11/17/16 2:08,2,5,We r most thankful to @KanchanGupta sir,,,,,
ModiClub,11/17/16 2:08,1,0,Many ATM shut in Chennai ...ICICI,,,,,
OfficialZhuZhu,11/17/16 2:08,0,0,#ATM ke Baher ek line alag se lagni chahiye Dalalo ke liye Mujhe Aasani ho jayegi #demonetization,,,#ATM #demonetization,7.99193E+17,https://twitter.com/OfficialZhuZhu/status/799192548564672512
AmaninderZ,11/17/16 2:08,0,0,#Modi has killed more civilians than terrorists in Kashmir have killed in the past few months.Let this sink in. #ModiSarkar #demonetization https:// twitter.com/smartrandhawa/ status/799167626584858624 â€_,,,#Modi #ModiSarkar #demonetization,7.99193E+17,https://twitter.com/AmaninderZ/status/799192543355236352
