username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
souravkamalguha;2016-11-14 10:27;0;0;"@SonaChele1 i have seen singapore media praised modi for demonetization but chinese govt never heard. Can we get the source?";;@SonaChele1;;"798230912596967424";https://twitter.com/souravkamalguha/status/798230912596967424
gopalkagarwal;2016-11-14 10:26;1;2;"@narendramodi working overnight to solve problems being faced by common men on #Demonetization http:// fb.me/16bPNHOEb";;@narendramodi;#Demonetization;"798230740899008512";https://twitter.com/gopalkagarwal/status/798230740899008512
NewsInTweetsIn;2016-11-14 10:26;0;0;"DNA: Demonetization : BJP supplying govt with ground feedback http:// dnai.in/dENt http:// dlvr.it/MfzCS4 #NewsInTweetsIndia pic.twitter.com/Ay99P5avhQ";;;#NewsInTweetsIndia;"798230693645979650";https://twitter.com/NewsInTweetsIn/status/798230693645979650
dilon;2016-11-14 10:26;0;0;"P9 - #currency #demonetization by any means. So the next day I went my office and startd askng for R100 from people who I don't even know.";;;#currency #demonetization;"798230624758689794";https://twitter.com/dilon/status/798230624758689794
nmohanty;2016-11-14 10:26;0;1;"Had been thinking of writing on it do here goes - my take on the demonetization issue: http:// nochiketa.blogspot.in/2016/11/demone tization-in-india-cash-dilemma.html?m=1 …";;;;"798230618169626624";https://twitter.com/nmohanty/status/798230618169626624
wwwniblogcom;2016-11-14 10:26;0;0;"Modi’s demonetization move bold, but far from enough: Chinese media http://www. livemint.com/Politics/OzKpQ P6Zlarht4c9fotrqL/Narendra-Modis-demonetization-move-bold-but-far-from-enoug.html …";;;;"798230519192293376";https://twitter.com/wwwniblogcom/status/798230519192293376
AwareIndians;2016-11-14 10:25;1;0;"10 Reasons Why BJP's Demonetization Move Is An Unmitigated — And Politically Motivated — Disaster Nov 14, 2016 http://www. huffingtonpost.in/apoorva-pathak /10-reasons-why-bjps-demonetization-move-is-an-unmitigated-and/ …";;;;"798230511239864320";https://twitter.com/AwareIndians/status/798230511239864320
AhamedAnsar;2016-11-14 10:25;2;0;"#MustRead #Demonetization is a hollow move, says one of #India 's top #economic statistician #economy #blackmoney http://www. livemint.com/Opinion/uzvIE8 4KGXy1xvp06pTazM/Demonetization-is-a-hollow-move.html …";;;#MustRead #Demonetization #India #economic #economy #blackmoney;"798230440230395904";https://twitter.com/AhamedAnsar/status/798230440230395904
amitabhamit;2016-11-14 10:25;0;1;"Demonetization Someone is getting it horribly wrong. Which side only the time will tell.";;;;"798230338342293505";https://twitter.com/amitabhamit/status/798230338342293505
deepakishwar09;2016-11-14 10:24;0;2;"PM @narendramodi demonetization move saved #ArvindKejriwal from Delhi pollution curse !";;@narendramodi;#ArvindKejriwal;"798230259803922432";https://twitter.com/deepakishwar09/status/798230259803922432
